"DateTime","(deg F) Mean Temperature (CFSR) at Polygon 1, 2010-01-01 to 2019-03-13"
"2010-01-01:12 AM",26.1824
"2010-01-02:12 AM",18.8353
"2010-01-03:12 AM",18.6075
"2010-01-04:12 AM",19.1376
"2010-01-05:12 AM",19.5386
"2010-01-06:12 AM",23.0871
"2010-01-07:12 AM",23.3996
"2010-01-08:12 AM",17.7379
"2010-01-09:12 AM",16.1168
"2010-01-10:12 AM",18.6746
"2010-01-11:12 AM",25.0653
"2010-01-12:12 AM",26.6389
"2010-01-13:12 AM",29.8094
"2010-01-14:12 AM",35.2105
"2010-01-15:12 AM",37.2087
"2010-01-16:12 AM",38.5504
"2010-01-17:12 AM",39.3903
"2010-01-18:12 AM",38.6569
"2010-01-19:12 AM",39.8779
"2010-01-20:12 AM",40.6992
"2010-01-21:12 AM",40.3461
"2010-01-22:12 AM",39.3372
"2010-01-23:12 AM",41.2354
"2010-01-24:12 AM",42.7251
"2010-01-25:12 AM",38.7734
"2010-01-26:12 AM",30.877
"2010-01-27:12 AM",30.2713
"2010-01-28:12 AM",28.8469
"2010-01-29:12 AM",23.6739
"2010-01-30:12 AM",22.2539
"2010-01-31:12 AM",22.5747
"2010-02-01:12 AM",26.6349
"2010-02-02:12 AM",30.648
"2010-02-03:12 AM",30.6685
"2010-02-04:12 AM",32.8278
"2010-02-05:12 AM",35.3948
"2010-02-06:12 AM",31.2676
"2010-02-07:12 AM",28.4718
"2010-02-08:12 AM",29.4584
"2010-02-09:12 AM",28.9332
"2010-02-10:12 AM",25.9533
"2010-02-11:12 AM",26.9227
"2010-02-12:12 AM",27.7243
"2010-02-13:12 AM",28.2348
"2010-02-14:12 AM",29.3189
"2010-02-15:12 AM",28.4691
"2010-02-16:12 AM",28.2882
"2010-02-17:12 AM",29.3506
"2010-02-18:12 AM",31.8047
"2010-02-19:12 AM",33.6988
"2010-02-20:12 AM",36.421
"2010-02-21:12 AM",38.1911
"2010-02-22:12 AM",37.0137
"2010-02-23:12 AM",33.3759
"2010-02-24:12 AM",28.8909
"2010-02-25:12 AM",28.1178
"2010-02-26:12 AM",30.7355
"2010-02-27:12 AM",32.9702
"2010-02-28:12 AM",34.4563
"2010-03-01:12 AM",35.4448
"2010-03-02:12 AM",34.9219
"2010-03-03:12 AM",34.8575
"2010-03-04:12 AM",35.3575
"2010-03-05:12 AM",36.7947
"2010-03-06:12 AM",38.2096
"2010-03-07:12 AM",40.6234
"2010-03-08:12 AM",43.5267
"2010-03-09:12 AM",46.8041
"2010-03-10:12 AM",49.5318
"2010-03-11:12 AM",49.6128
"2010-03-12:12 AM",47.66
"2010-03-13:12 AM",44.9418
"2010-03-14:12 AM",44.6947
"2010-03-15:12 AM",45.0396
"2010-03-16:12 AM",44.9947
