"DateTime","(deg F) Mean Temperature (CFSR) at Washington, 2010-01-01 to 2019-03-14"
"2010-06-25:12 AM",61.9783
"2010-06-26:12 AM",58.854
"2010-06-27:12 AM",59.4327
"2010-06-28:12 AM",60.7465
"2010-06-29:12 AM",58.2372
"2010-06-30:12 AM",54.6057
"2010-07-01:12 AM",53.0177
"2010-07-02:12 AM",54.0324
"2010-07-03:12 AM",54.8535
"2010-07-04:12 AM",54.4995
"2010-07-05:12 AM",55.2414
"2010-07-06:12 AM",61.2534
"2010-07-07:12 AM",67.633
"2010-07-08:12 AM",72.3877
"2010-07-09:12 AM",72.8357
"2010-07-10:12 AM",70.6264
"2010-07-11:12 AM",68.7544
"2010-07-12:12 AM",59.8525
"2010-07-13:12 AM",55.2519
"2010-07-14:12 AM",60.5903
"2010-07-15:12 AM",64.9756
"2010-07-16:12 AM",63.4338
"2010-07-17:12 AM",62.9496
"2010-07-18:12 AM",61.4993
"2010-07-19:12 AM",62.1095
"2010-07-20:12 AM",64.3154
"2010-07-21:12 AM",67.3304
"2010-07-22:12 AM",63.7115
"2010-07-23:12 AM",63.3513
"2010-07-24:12 AM",68.8264
"2010-07-25:12 AM",70.5979
"2010-07-26:12 AM",70.8183
"2010-07-27:12 AM",69.0552
"2010-07-28:12 AM",68.0358
"2010-07-29:12 AM",66.9934
"2010-07-30:12 AM",67.9678
"2010-07-31:12 AM",64.8972
"2010-08-01:12 AM",63.2102
"2010-08-02:12 AM",65.3005
"2010-08-03:12 AM",65.8724
"2010-08-04:12 AM",69.3928
"2010-08-05:12 AM",71.2695
"2010-08-06:12 AM",68.0938
"2010-08-07:12 AM",61.7169
"2010-08-08:12 AM",61.9052
"2010-08-09:12 AM",61.1737
"2010-08-10:12 AM",59.749
"2010-08-11:12 AM",62.2247
"2010-08-12:12 AM",64.7222
"2010-08-13:12 AM",68.3674
"2010-08-14:12 AM",71.3399
"2010-08-15:12 AM",72.0217
"2010-08-16:12 AM",72.3324
"2010-08-17:12 AM",72.8416
"2010-08-18:12 AM",67.838
"2010-08-19:12 AM",61.6019
"2010-08-20:12 AM",59.1193
"2010-08-21:12 AM",59.1584
"2010-08-22:12 AM",57.2659
"2010-08-23:12 AM",57.387
"2010-08-24:12 AM",64.249
"2010-08-25:12 AM",69.1594
"2010-08-26:12 AM",63.2545
"2010-08-27:12 AM",55.6952
"2010-08-28:12 AM",55.3456
"2010-08-29:12 AM",53.1455
"2010-08-30:12 AM",54.6361
"2010-08-31:12 AM",51.3788
"2010-09-01:12 AM",57.1572
"2010-09-02:12 AM",59.5942
"2010-09-03:12 AM",65.9579
"2010-09-04:12 AM",60.0391
"2010-09-05:12 AM",52.7002
"2010-09-06:12 AM",52.2928
"2010-09-07:12 AM",53.9775
"2010-09-08:12 AM",53.4702
"2010-09-09:12 AM",53.5393
"2010-09-10:12 AM",53.8239
"2010-09-11:12 AM",54.1126
"2010-09-12:12 AM",56.1627
"2010-09-13:12 AM",60.5331
"2010-09-14:12 AM",60.8245
"2010-09-15:12 AM",59.7456
"2010-09-16:12 AM",59.6559
"2010-09-17:12 AM",58.7419
"2010-09-18:12 AM",57.9839
"2010-09-19:12 AM",56.9196
"2010-09-20:12 AM",53.8142
"2010-09-21:12 AM",51.4434
"2010-09-22:12 AM",51.8569
"2010-09-23:12 AM",50.227
"2010-09-24:12 AM",54.462
"2010-09-25:12 AM",59.2583
"2010-09-26:12 AM",59.7331
"2010-09-27:12 AM",63.1758
"2010-09-28:12 AM",63.1551
"2010-09-29:12 AM",59.0036
"2010-09-30:12 AM",60.6348
"2010-10-01:12 AM",62.5073
"2010-10-02:12 AM",59.8006
"2010-10-03:12 AM",56.766
"2010-10-04:12 AM",52.4244
"2010-10-05:12 AM",52.0848
"2010-10-06:12 AM",54.9925
"2010-10-07:12 AM",53.6787
"2010-10-08:12 AM",54.4255
"2010-10-09:12 AM",54.0426
"2010-10-10:12 AM",55.5645
"2010-10-11:12 AM",46.7533
"2010-10-12:12 AM",48.5312
"2010-10-13:12 AM",50.4595
"2010-10-14:12 AM",50.616
"2010-10-15:12 AM",46.8563
"2010-10-16:12 AM",44.1392
"2010-10-17:12 AM",43.72
"2010-10-18:12 AM",45.5355
"2010-10-19:12 AM",47.565
"2010-10-20:12 AM",50.3186
"2010-10-21:12 AM",49.5221
"2010-10-22:12 AM",49.4584
"2010-10-23:12 AM",47.2233
"2010-10-24:12 AM",46.5458
"2010-10-25:12 AM",43.2711
"2010-10-26:12 AM",41.1267
"2010-10-27:12 AM",42.6299
"2010-10-28:12 AM",43.435
"2010-10-29:12 AM",44.6511
"2010-10-30:12 AM",43.5137
"2010-10-31:12 AM",44.8385
"2010-11-01:12 AM",48.2664
"2010-11-02:12 AM",49.2795
"2010-11-03:12 AM",47.397
"2010-11-04:12 AM",48.4291
"2010-11-05:12 AM",47.0885
"2010-11-06:12 AM",46.5435
"2010-11-07:12 AM",46.1977
"2010-11-08:12 AM",39.4518
"2010-11-09:12 AM",36.5396
"2010-11-10:12 AM",37.6668
"2010-11-11:12 AM",36.6175
"2010-11-12:12 AM",38.3895
"2010-11-13:12 AM",37.2369
"2010-11-14:12 AM",41.9952
"2010-11-15:12 AM",44.2018
"2010-11-16:12 AM",43.0039
"2010-11-17:12 AM",39.1039
"2010-11-18:12 AM",35.7363
"2010-11-19:12 AM",33.1198
"2010-11-20:12 AM",31.0008
"2010-11-21:12 AM",26.0013
"2010-11-22:12 AM",22.8826
"2010-11-23:12 AM",13.2822
"2010-11-24:12 AM",9.5745
"2010-11-25:12 AM",18.7212
"2010-11-26:12 AM",28.517
"2010-11-27:12 AM",31.3032
"2010-11-28:12 AM",28.4104
"2010-11-29:12 AM",28.4711
"2010-11-30:12 AM",30.889
"2010-12-01:12 AM",33.8704
"2010-12-02:12 AM",32.1127
"2010-12-03:12 AM",31.0887
"2010-12-04:12 AM",27.3022
"2010-12-05:12 AM",26.8176
"2010-12-06:12 AM",30.3552
"2010-12-07:12 AM",33.2434
"2010-12-08:12 AM",37.3195
"2010-12-09:12 AM",38.9937
"2010-12-10:12 AM",36.171
"2010-12-11:12 AM",33.9946
"2010-12-12:12 AM",42.7861
"2010-12-13:12 AM",42.87
"2010-12-14:12 AM",39.0249
"2010-12-15:12 AM",32.9985
"2010-12-16:12 AM",32.2633
"2010-12-17:12 AM",29.6778
"2010-12-18:12 AM",28.8403
"2010-12-19:12 AM",28.6196
"2010-12-20:12 AM",28.9654
"2010-12-21:12 AM",32.4831
"2010-12-22:12 AM",33.6551
"2010-12-23:12 AM",33.9507
"2010-12-24:12 AM",34.8031
"2010-12-25:12 AM",35.3953
"2010-12-26:12 AM",34.9997
"2010-12-27:12 AM",32.8091
"2010-12-28:12 AM",36.4064
"2010-12-29:12 AM",30.1491
"2010-12-30:12 AM",22.2391
"2010-12-31:12 AM",16.5349
"2011-01-01:12 AM",13.6965
"2011-01-02:12 AM",16.4003
"2011-01-03:12 AM",17.9839
"2011-01-04:12 AM",21.1289
"2011-01-05:12 AM",27.1616
"2011-01-06:12 AM",33.9289
"2011-01-07:12 AM",35.0735
"2011-01-08:12 AM",29.8479
"2011-01-09:12 AM",25.9839
"2011-01-10:12 AM",20.0021
"2011-01-11:12 AM",18.0216
"2011-01-12:12 AM",26.9838
"2011-01-13:12 AM",37.0931
"2011-01-14:12 AM",41.2408
"2011-01-15:12 AM",41.3332
"2011-01-16:12 AM",43.0905
"2011-01-17:12 AM",41.7189
"2011-01-18:12 AM",35.0141
"2011-01-19:12 AM",28.4464
"2011-01-20:12 AM",29.0174
"2011-01-21:12 AM",35.0305
"2011-01-22:12 AM",35.1709
"2011-01-23:12 AM",34.4833
"2011-01-24:12 AM",36.3209
"2011-01-25:12 AM",38.2777
"2011-01-26:12 AM",37.1788
"2011-01-27:12 AM",37.1793
"2011-01-28:12 AM",36.9304
"2011-01-29:12 AM",38.5952
"2011-01-30:12 AM",32.7551
"2011-01-31:12 AM",26.465
"2011-02-01:12 AM",22.2384
"2011-02-02:12 AM",24.2938
"2011-02-03:12 AM",28.4958
"2011-02-04:12 AM",35.8317
"2011-02-05:12 AM",36.9437
"2011-02-06:12 AM",36.1234
"2011-02-07:12 AM",36.8172
"2011-02-08:12 AM",31.8969
"2011-02-09:12 AM",28.8475
"2011-02-10:12 AM",29.4053
"2011-02-11:12 AM",33.2897
"2011-02-12:12 AM",37.9152
"2011-02-13:12 AM",37.8228
"2011-02-14:12 AM",38.3108
"2011-02-15:12 AM",35.1459
"2011-02-16:12 AM",33.1763
"2011-02-17:12 AM",30.3298
"2011-02-18:12 AM",29.7549
"2011-02-19:12 AM",28.629
"2011-02-20:12 AM",26.584
"2011-02-21:12 AM",28.5969
"2011-02-22:12 AM",30.5497
"2011-02-23:12 AM",26.915
"2011-02-24:12 AM",20.9757
"2011-02-25:12 AM",12.9432
"2011-02-26:12 AM",13.042
"2011-02-27:12 AM",25.7396
"2011-02-28:12 AM",32.2867
"2011-03-01:12 AM",30.6149
"2011-03-02:12 AM",34.7353
"2011-03-03:12 AM",32.3235
"2011-03-04:12 AM",30.8388
"2011-03-05:12 AM",35.4623
