"DateTime","(deg F) Mean Temperature (CFSR) at Indiana, 2010-01-01 to 2019-03-14"
"2010-06-26:12 AM",77.7709
"2010-06-27:12 AM",79.3258
"2010-06-28:12 AM",76.9264
"2010-06-29:12 AM",69.5592
"2010-06-30:12 AM",64.8846
"2010-07-01:12 AM",65.3389
"2010-07-02:12 AM",66.4111
"2010-07-03:12 AM",70.534
"2010-07-04:12 AM",77.8665
"2010-07-05:12 AM",79.2529
"2010-07-06:12 AM",79.0909
"2010-07-07:12 AM",81.2761
"2010-07-08:12 AM",78.0877
"2010-07-09:12 AM",76.5948
"2010-07-10:12 AM",75.1642
"2010-07-11:12 AM",75.0967
"2010-07-12:12 AM",75.3564
"2010-07-13:12 AM",75.8358
"2010-07-14:12 AM",78.2159
"2010-07-15:12 AM",81.6026
"2010-07-16:12 AM",80.1252
"2010-07-17:12 AM",79.5344
"2010-07-18:12 AM",78.7235
"2010-07-19:12 AM",78.9811
"2010-07-20:12 AM",77.7952
"2010-07-21:12 AM",78.5836
"2010-07-22:12 AM",78.539
"2010-07-23:12 AM",85.0739
"2010-07-24:12 AM",84.3669
"2010-07-25:12 AM",79.4853
"2010-07-26:12 AM",75.0708
"2010-07-27:12 AM",77.3188
"2010-07-28:12 AM",79.5225
"2010-07-29:12 AM",77.5096
"2010-07-30:12 AM",71.7924
"2010-07-31:12 AM",72.1618
"2010-08-01:12 AM",74.5227
"2010-08-02:12 AM",76.9176
"2010-08-03:12 AM",79.4302
"2010-08-04:12 AM",85.3088
"2010-08-05:12 AM",78.8812
"2010-08-06:12 AM",73.8117
"2010-08-07:12 AM",72.1438
"2010-08-08:12 AM",76.5347
"2010-08-09:12 AM",81.0084
"2010-08-10:12 AM",84.9216
"2010-08-11:12 AM",84.7812
"2010-08-12:12 AM",83.3693
"2010-08-13:12 AM",82.2022
"2010-08-14:12 AM",82.956
"2010-08-15:12 AM",81.2453
"2010-08-16:12 AM",74.3209
"2010-08-17:12 AM",72.9086
"2010-08-18:12 AM",75.1078
"2010-08-19:12 AM",75.8323
"2010-08-20:12 AM",79.9972
"2010-08-21:12 AM",79.5108
"2010-08-22:12 AM",77.2117
"2010-08-23:12 AM",73.4509
"2010-08-24:12 AM",72.6375
"2010-08-25:12 AM",71.9418
"2010-08-26:12 AM",66.7888
