"DateTime","(deg F) Mean Temperature (CFSR) at Montana, 2010-01-01 to 2019-03-14"
"2010-06-25:12 AM",66.5339
"2010-06-26:12 AM",64.3404
"2010-06-27:12 AM",63.9219
"2010-06-28:12 AM",67.732
"2010-06-29:12 AM",73.3797
"2010-06-30:12 AM",71.3176
"2010-07-01:12 AM",66.9324
"2010-07-02:12 AM",65.5563
"2010-07-03:12 AM",57.384
"2010-07-04:12 AM",56.9242
"2010-07-05:12 AM",56.7806
"2010-07-06:12 AM",54.5227
"2010-07-07:12 AM",58.4584
"2010-07-08:12 AM",64.3998
"2010-07-09:12 AM",69.1041
"2010-07-10:12 AM",70.9849
"2010-07-11:12 AM",64.0827
"2010-07-12:12 AM",67.3475
"2010-07-13:12 AM",61.761
"2010-07-14:12 AM",59.7405
"2010-07-15:12 AM",66.1127
"2010-07-16:12 AM",72.6786
"2010-07-17:12 AM",70.5947
"2010-07-18:12 AM",67.7674
"2010-07-19:12 AM",64.5597
"2010-07-20:12 AM",62.6544
"2010-07-21:12 AM",63.2286
"2010-07-22:12 AM",64.6192
"2010-07-23:12 AM",63.3493
"2010-07-24:12 AM",65.0692
"2010-07-25:12 AM",71.3935
"2010-07-26:12 AM",73.4041
"2010-07-27:12 AM",69.8686
"2010-07-28:12 AM",69.9656
"2010-07-29:12 AM",72.9964
"2010-07-30:12 AM",73.6747
"2010-07-31:12 AM",74.1943
"2010-08-01:12 AM",70.3773
"2010-08-02:12 AM",68.6415
"2010-08-03:12 AM",66.8797
"2010-08-04:12 AM",64.8003
"2010-08-05:12 AM",67.3311
"2010-08-06:12 AM",72.0099
"2010-08-07:12 AM",71.9078
"2010-08-08:12 AM",71.1484
"2010-08-09:12 AM",69.9953
"2010-08-10:12 AM",69.2632
"2010-08-11:12 AM",70.6978
"2010-08-12:12 AM",66.7769
"2010-08-13:12 AM",58.5961
"2010-08-14:12 AM",57.1825
"2010-08-15:12 AM",60.0669
"2010-08-16:12 AM",64.0517
"2010-08-17:12 AM",69.4465
"2010-08-18:12 AM",71.1486
"2010-08-19:12 AM",71.29
"2010-08-20:12 AM",69.82
"2010-08-21:12 AM",73.0809
"2010-08-22:12 AM",71.4988
"2010-08-23:12 AM",58.9782
"2010-08-24:12 AM",59.1687
"2010-08-25:12 AM",67.8573
"2010-08-26:12 AM",75.5098
"2010-08-27:12 AM",68.2846
"2010-08-28:12 AM",58.9851
"2010-08-29:12 AM",54.6868
"2010-08-30:12 AM",50.0342
"2010-08-31:12 AM",51.2821
"2010-09-01:12 AM",53.7654
"2010-09-02:12 AM",53.6295
"2010-09-03:12 AM",59.5269
"2010-09-04:12 AM",65.579
"2010-09-05:12 AM",55.9576
"2010-09-06:12 AM",48.3143
"2010-09-07:12 AM",53.2116
"2010-09-08:12 AM",56.5036
"2010-09-09:12 AM",53.5798
"2010-09-10:12 AM",50.6086
"2010-09-11:12 AM",52.7891
"2010-09-12:12 AM",56.4813
"2010-09-13:12 AM",59.6367
"2010-09-14:12 AM",56.0064
"2010-09-15:12 AM",55.1388
"2010-09-16:12 AM",56.9626
"2010-09-17:12 AM",46.094
"2010-09-18:12 AM",45.2809
"2010-09-19:12 AM",52.5913
"2010-09-20:12 AM",53.4074
"2010-09-21:12 AM",49.989
"2010-09-22:12 AM",46.7656
"2010-09-23:12 AM",47.7869
"2010-09-24:12 AM",52.4872
"2010-09-25:12 AM",58.5885
"2010-09-26:12 AM",66.0749
"2010-09-27:12 AM",63.6773
"2010-09-28:12 AM",67.1725
"2010-09-29:12 AM",60.8126
"2010-09-30:12 AM",59.0619
"2010-10-01:12 AM",57.2706
"2010-10-02:12 AM",59.2038
"2010-10-03:12 AM",63.9302
