"DateTime","(deg F) Mean Temperature (CFSR) at Utah, 2010-01-01 to 2019-03-14"
"2010-06-26:12 AM",71.5503
"2010-06-27:12 AM",71.2834
"2010-06-28:12 AM",74.0649
"2010-06-29:12 AM",76.2888
"2010-06-30:12 AM",76.0194
"2010-07-01:12 AM",75.1356
"2010-07-02:12 AM",74.5212
"2010-07-03:12 AM",69.7899
"2010-07-04:12 AM",64.6801
"2010-07-05:12 AM",65.9946
"2010-07-06:12 AM",69.688
"2010-07-07:12 AM",70.3134
"2010-07-08:12 AM",71.647
"2010-07-09:12 AM",71.922
"2010-07-10:12 AM",72.7392
"2010-07-11:12 AM",74.0602
"2010-07-12:12 AM",76.5511
"2010-07-13:12 AM",76.9467
"2010-07-14:12 AM",76.341
"2010-07-15:12 AM",76.5995
"2010-07-16:12 AM",79.7855
"2010-07-17:12 AM",80.8785
"2010-07-18:12 AM",80.4123
"2010-07-19:12 AM",80.8412
"2010-07-20:12 AM",78.4492
"2010-07-21:12 AM",78.9091
"2010-07-22:12 AM",76.6207
"2010-07-23:12 AM",76.4092
"2010-07-24:12 AM",76.1907
"2010-07-25:12 AM",78.1029
"2010-07-26:12 AM",77.9425
"2010-07-27:12 AM",73.9593
"2010-07-28:12 AM",75.9708
"2010-07-29:12 AM",75
"2010-07-30:12 AM",76.4582
"2010-07-31:12 AM",76.0532
"2010-08-01:12 AM",74.3788
"2010-08-02:12 AM",74.7358
"2010-08-03:12 AM",75.6676
"2010-08-04:12 AM",74.8537
"2010-08-05:12 AM",74.6616
"2010-08-06:12 AM",75.1773
"2010-08-07:12 AM",72.0513
"2010-08-08:12 AM",68.0068
"2010-08-09:12 AM",69.2442
"2010-08-10:12 AM",69.1221
"2010-08-11:12 AM",71.8709
"2010-08-12:12 AM",69.3142
"2010-08-13:12 AM",68.9689
"2010-08-14:12 AM",71.4645
"2010-08-15:12 AM",73.231
"2010-08-16:12 AM",75.5973
"2010-08-17:12 AM",74.7493
"2010-08-18:12 AM",75.2599
"2010-08-19:12 AM",70.2777
"2010-08-20:12 AM",71.2008
"2010-08-21:12 AM",75.4038
"2010-08-22:12 AM",74.6994
"2010-08-23:12 AM",68.9722
"2010-08-24:12 AM",67.9366
"2010-08-25:12 AM",71.9098
"2010-08-26:12 AM",75.0006
"2010-08-27:12 AM",73.9173
"2010-08-28:12 AM",69.8418
"2010-08-29:12 AM",65.4913
"2010-08-30:12 AM",59.8255
"2010-08-31:12 AM",60.4162
"2010-09-01:12 AM",63.8614
"2010-09-02:12 AM",66.5285
"2010-09-03:12 AM",69.6616
"2010-09-04:12 AM",73.1169
"2010-09-05:12 AM",70.4332
"2010-09-06:12 AM",60.3383
"2010-09-07:12 AM",61.3677
"2010-09-08:12 AM",64.9587
"2010-09-09:12 AM",59.812
"2010-09-10:12 AM",54.5814
"2010-09-11:12 AM",58.1221
"2010-09-12:12 AM",64.1352
"2010-09-13:12 AM",66.5944
"2010-09-14:12 AM",66.8066
"2010-09-15:12 AM",65.2908
"2010-09-16:12 AM",66.7996
"2010-09-17:12 AM",67.9293
"2010-09-18:12 AM",68.8086
"2010-09-19:12 AM",69.856
"2010-09-20:12 AM",67.2141
"2010-09-21:12 AM",63.8469
"2010-09-22:12 AM",64.1284
"2010-09-23:12 AM",60.3862
"2010-09-24:12 AM",61.9932
"2010-09-25:12 AM",64.6943
"2010-09-26:12 AM",67.0649
"2010-09-27:12 AM",68.1714
"2010-09-28:12 AM",69.0762
"2010-09-29:12 AM",68.5632
"2010-09-30:12 AM",67.1608
"2010-10-01:12 AM",69.3948
"2010-10-02:12 AM",68.7677
"2010-10-03:12 AM",65.3047
"2010-10-04:12 AM",60.6317
"2010-10-05:12 AM",56.6629
"2010-10-06:12 AM",54.2714
"2010-10-07:12 AM",52.2435
"2010-10-08:12 AM",49.4109
"2010-10-09:12 AM",50.1685
"2010-10-10:12 AM",51.9816
"2010-10-11:12 AM",53.9661
"2010-10-12:12 AM",52.3152
"2010-10-13:12 AM",51.8581
"2010-10-14:12 AM",53.7985
"2010-10-15:12 AM",56.3477
"2010-10-16:12 AM",56.9831
"2010-10-17:12 AM",55.5134
"2010-10-18:12 AM",52.9725
"2010-10-19:12 AM",50.5731
"2010-10-20:12 AM",51.3541
"2010-10-21:12 AM",50.5335
"2010-10-22:12 AM",49.3194
"2010-10-23:12 AM",47.3634
"2010-10-24:12 AM",46.1907
"2010-10-25:12 AM",43.1089
"2010-10-26:12 AM",35.4661
"2010-10-27:12 AM",32.8755
"2010-10-28:12 AM",36.2394
"2010-10-29:12 AM",44.3473
"2010-10-30:12 AM",46.2655
"2010-10-31:12 AM",43.1517
"2010-11-01:12 AM",42.8265
"2010-11-02:12 AM",45.6325
"2010-11-03:12 AM",48.263
"2010-11-04:12 AM",48.7074
"2010-11-05:12 AM",49.6386
"2010-11-06:12 AM",50.6129
"2010-11-07:12 AM",48.0711
"2010-11-08:12 AM",43.3436
"2010-11-09:12 AM",32.842
