"DateTime","(deg F) Mean Temperature (CFSR) at Colorado, 2010-01-01 to 2019-03-14"
"2010-06-26:12 AM",69.4904
"2010-06-27:12 AM",66.3017
"2010-06-28:12 AM",68.4099
"2010-06-29:12 AM",69.4454
"2010-06-30:12 AM",69.0242
"2010-07-01:12 AM",68.6197
"2010-07-02:12 AM",70.1778
"2010-07-03:12 AM",72.1242
"2010-07-04:12 AM",65.4534
"2010-07-05:12 AM",62.3125
"2010-07-06:12 AM",66.8147
"2010-07-07:12 AM",62.2222
"2010-07-08:12 AM",61.3141
"2010-07-09:12 AM",64.2668
"2010-07-10:12 AM",67.2206
"2010-07-11:12 AM",67.0582
"2010-07-12:12 AM",69.0746
"2010-07-13:12 AM",73.465
"2010-07-14:12 AM",74.6312
"2010-07-15:12 AM",72.5733
"2010-07-16:12 AM",74.476
"2010-07-17:12 AM",75.9796
"2010-07-18:12 AM",75.274
"2010-07-19:12 AM",76.0566
"2010-07-20:12 AM",72.6384
"2010-07-21:12 AM",69.7617
"2010-07-22:12 AM",70.4557
"2010-07-23:12 AM",71.4151
"2010-07-24:12 AM",68.3359
"2010-07-25:12 AM",67.5491
"2010-07-26:12 AM",70.5747
"2010-07-27:12 AM",72.0151
"2010-07-28:12 AM",70.2741
"2010-07-29:12 AM",69.7764
"2010-07-30:12 AM",70.689
"2010-07-31:12 AM",69.2652
"2010-08-01:12 AM",69.5755
"2010-08-02:12 AM",69.1419
"2010-08-03:12 AM",68.517
"2010-08-04:12 AM",67.5286
"2010-08-05:12 AM",66.1867
"2010-08-06:12 AM",67.5556
"2010-08-07:12 AM",68.2342
"2010-08-08:12 AM",68.5189
"2010-08-09:12 AM",67.026
"2010-08-10:12 AM",66.9846
"2010-08-11:12 AM",70.2374
"2010-08-12:12 AM",70.3207
"2010-08-13:12 AM",68.3672
"2010-08-14:12 AM",67.5869
"2010-08-15:12 AM",67.6746
"2010-08-16:12 AM",65.2141
"2010-08-17:12 AM",66.196
"2010-08-18:12 AM",71.2387
"2010-08-19:12 AM",68.409
"2010-08-20:12 AM",66.9735
"2010-08-21:12 AM",68.8566
"2010-08-22:12 AM",70.6465
"2010-08-23:12 AM",69.0278
"2010-08-24:12 AM",63.1389
"2010-08-25:12 AM",64.5215
"2010-08-26:12 AM",67.9827
"2010-08-27:12 AM",69.8353
"2010-08-28:12 AM",68.8321
"2010-08-29:12 AM",67.6506
"2010-08-30:12 AM",66.0848
"2010-08-31:12 AM",63.4685
"2010-09-01:12 AM",63.4833
"2010-09-02:12 AM",61.4847
"2010-09-03:12 AM",59.9682
"2010-09-04:12 AM",66.3017
"2010-09-05:12 AM",69.6315
"2010-09-06:12 AM",64.2654
"2010-09-07:12 AM",57.6036
"2010-09-08:12 AM",61.5279
"2010-09-09:12 AM",63.4249
"2010-09-10:12 AM",58.5858
"2010-09-11:12 AM",56.9282
"2010-09-12:12 AM",62.2166
"2010-09-13:12 AM",64.8952
"2010-09-14:12 AM",65.6587
"2010-09-15:12 AM",65.4638
"2010-09-16:12 AM",62.6329
"2010-09-17:12 AM",65.7945
"2010-09-18:12 AM",64.3622
"2010-09-19:12 AM",65.2865
"2010-09-20:12 AM",68.0472
"2010-09-21:12 AM",63.676
"2010-09-22:12 AM",60.8986
"2010-09-23:12 AM",58.9417
"2010-09-24:12 AM",57.6577
"2010-09-25:12 AM",60.0422
"2010-09-26:12 AM",60.9643
