"DateTime","(deg F) Mean Temperature (CFSR) at New Hampshire, 2010-01-01 to 2019-03-14"
"2010-06-26:12 AM",64.5618
"2010-06-27:12 AM",65.2159
"2010-06-28:12 AM",69.6677
"2010-06-29:12 AM",68.8107
"2010-06-30:12 AM",60.9521
"2010-07-01:12 AM",57.1388
"2010-07-02:12 AM",61.3589
"2010-07-03:12 AM",66.6889
"2010-07-04:12 AM",73.1248
"2010-07-05:12 AM",75.3814
"2010-07-06:12 AM",80.1208
"2010-07-07:12 AM",78.552
"2010-07-08:12 AM",76.8133
"2010-07-09:12 AM",75.8892
"2010-07-10:12 AM",69.332
"2010-07-11:12 AM",70.7392
"2010-07-12:12 AM",72.9707
"2010-07-13:12 AM",72.5067
"2010-07-14:12 AM",68.785
"2010-07-15:12 AM",71.1257
"2010-07-16:12 AM",73.7652
"2010-07-17:12 AM",75.2767
"2010-07-18:12 AM",72.5104
"2010-07-19:12 AM",69.0944
"2010-07-20:12 AM",66.463
"2010-07-21:12 AM",68.893
"2010-07-22:12 AM",68.6313
"2010-07-23:12 AM",65.2888
"2010-07-24:12 AM",67.9903
"2010-07-25:12 AM",71.497
"2010-07-26:12 AM",66.6637
"2010-07-27:12 AM",69.0492
"2010-07-28:12 AM",73.1251
"2010-07-29:12 AM",72.1987
"2010-07-30:12 AM",61.7938
"2010-07-31:12 AM",59.7448
"2010-08-01:12 AM",63.4172
"2010-08-02:12 AM",65.0653
"2010-08-03:12 AM",69.384
"2010-08-04:12 AM",75.2812
"2010-08-05:12 AM",73.8363
"2010-08-06:12 AM",68.2722
"2010-08-07:12 AM",58.1965
"2010-08-08:12 AM",64.758
"2010-08-09:12 AM",72.3807
"2010-08-10:12 AM",71.4528
"2010-08-11:12 AM",69.5676
"2010-08-12:12 AM",64.5879
"2010-08-13:12 AM",65.2311
"2010-08-14:12 AM",65.232
"2010-08-15:12 AM",66.8377
"2010-08-16:12 AM",67.1736
"2010-08-17:12 AM",70.318
"2010-08-18:12 AM",67.2683
"2010-08-19:12 AM",67.7082
"2010-08-20:12 AM",63.2907
"2010-08-21:12 AM",61.5434
"2010-08-22:12 AM",61.7617
"2010-08-23:12 AM",56.8528
"2010-08-24:12 AM",62.0832
"2010-08-25:12 AM",58.7973
"2010-08-26:12 AM",63.8814
"2010-08-27:12 AM",60.8785
"2010-08-28:12 AM",62.1523
"2010-08-29:12 AM",69.598
"2010-08-30:12 AM",71.2395
"2010-08-31:12 AM",75.5663
"2010-09-01:12 AM",76.6926
"2010-09-02:12 AM",75.8037
"2010-09-03:12 AM",75.0765
"2010-09-04:12 AM",67.5027
"2010-09-05:12 AM",57.9344
"2010-09-06:12 AM",58.2877
"2010-09-07:12 AM",66.2549
"2010-09-08:12 AM",64.5184
"2010-09-09:12 AM",58.0842
"2010-09-10:12 AM",54.8004
"2010-09-11:12 AM",57.3697
"2010-09-12:12 AM",52.4721
"2010-09-13:12 AM",53.3799
"2010-09-14:12 AM",56.6393
"2010-09-15:12 AM",52.5544
"2010-09-16:12 AM",53.0002
"2010-09-17:12 AM",54.3254
"2010-09-18:12 AM",53.404
"2010-09-19:12 AM",56.8362
"2010-09-20:12 AM",53.9505
"2010-09-21:12 AM",53.7026
"2010-09-22:12 AM",66.4052
"2010-09-23:12 AM",57.7585
"2010-09-24:12 AM",66.317
"2010-09-25:12 AM",67.5198
"2010-09-26:12 AM",53.3545
"2010-09-27:12 AM",51.7183
"2010-09-28:12 AM",63.0667
"2010-09-29:12 AM",64.6479
"2010-09-30:12 AM",64.463
"2010-10-01:12 AM",60.1003
"2010-10-02:12 AM",50.9151
"2010-10-03:12 AM",45.966
"2010-10-04:12 AM",48.2436
"2010-10-05:12 AM",53.3388
"2010-10-06:12 AM",50.1186
"2010-10-07:12 AM",48.3328
"2010-10-08:12 AM",52.5407
"2010-10-09:12 AM",45.6129
"2010-10-10:12 AM",45.2214
"2010-10-11:12 AM",46.4533
"2010-10-12:12 AM",46.5409
"2010-10-13:12 AM",44.2161
"2010-10-14:12 AM",45.3173
"2010-10-15:12 AM",42.5786
"2010-10-16:12 AM",40.354
"2010-10-17:12 AM",44.5629
"2010-10-18:12 AM",42.6108
"2010-10-19:12 AM",39.3193
"2010-10-20:12 AM",43.3022
"2010-10-21:12 AM",42.6918
"2010-10-22:12 AM",34.9331
"2010-10-23:12 AM",34.5465
"2010-10-24:12 AM",37.8912
"2010-10-25:12 AM",46.0029
"2010-10-26:12 AM",57.6048
"2010-10-27:12 AM",60.409
"2010-10-28:12 AM",53.7881
"2010-10-29:12 AM",44.4265
"2010-10-30:12 AM",38.3805
"2010-10-31:12 AM",38.0354
"2010-11-01:12 AM",33.7458
"2010-11-02:12 AM",34.2574
"2010-11-03:12 AM",32.794
"2010-11-04:12 AM",36.5133
"2010-11-05:12 AM",39.7765
"2010-11-06:12 AM",36.154
"2010-11-07:12 AM",33.3441
"2010-11-08:12 AM",35.1131
"2010-11-09:12 AM",40.9181
"2010-11-10:12 AM",40.2373
"2010-11-11:12 AM",37.0688
"2010-11-12:12 AM",40.021
"2010-11-13:12 AM",42.5572
"2010-11-14:12 AM",39.4749
"2010-11-15:12 AM",42.1538
"2010-11-16:12 AM",43.8294
"2010-11-17:12 AM",45.9221
"2010-11-18:12 AM",35.8689
"2010-11-19:12 AM",29.5462
"2010-11-20:12 AM",32.1199
"2010-11-21:12 AM",25.4464
"2010-11-22:12 AM",35.8925
"2010-11-23:12 AM",45.0802
"2010-11-24:12 AM",30.1057
"2010-11-25:12 AM",24.7253
"2010-11-26:12 AM",29.6683
"2010-11-27:12 AM",27.3214
"2010-11-28:12 AM",25.824
"2010-11-29:12 AM",30.0238
"2010-11-30:12 AM",33.1201
"2010-12-01:12 AM",42.2661
"2010-12-02:12 AM",32.9437
"2010-12-03:12 AM",30.1158
"2010-12-04:12 AM",28.4983
"2010-12-05:12 AM",24.1934
"2010-12-06:12 AM",21.8363
"2010-12-07:12 AM",22.3387
"2010-12-08:12 AM",18.342
"2010-12-09:12 AM",14.4711
"2010-12-10:12 AM",13.9113
"2010-12-11:12 AM",25.3247
"2010-12-12:12 AM",34.2536
"2010-12-13:12 AM",41.2747
"2010-12-14:12 AM",18.874
"2010-12-15:12 AM",13.338
"2010-12-16:12 AM",17.1824
"2010-12-17:12 AM",19.5253
"2010-12-18:12 AM",21.1456
"2010-12-19:12 AM",21.8192
"2010-12-20:12 AM",20.0149
"2010-12-21:12 AM",23.9925
"2010-12-22:12 AM",27.5637
"2010-12-23:12 AM",26.6889
"2010-12-24:12 AM",20.6919
"2010-12-25:12 AM",18.9482
"2010-12-26:12 AM",18.5691
"2010-12-27:12 AM",17.2616
"2010-12-28:12 AM",13.854
"2010-12-29:12 AM",21.0868
"2010-12-30:12 AM",22.9534
"2010-12-31:12 AM",30.5542
"2011-01-01:12 AM",35.7651
"2011-01-02:12 AM",34.9257
"2011-01-03:12 AM",23.2657
"2011-01-04:12 AM",22.2139
"2011-01-05:12 AM",22.9678
"2011-01-06:12 AM",18.1018
"2011-01-07:12 AM",17.7417
"2011-01-08:12 AM",21.0108
