"DateTime","(deg F) Mean Temperature (CFSR) at District of Columbia, 2010-01-01 to 2019-03-14"
"2010-06-26:12 AM",77.576
"2010-06-27:12 AM",82.9733
"2010-06-28:12 AM",85.6679
"2010-06-29:12 AM",80.3795
"2010-06-30:12 AM",71.9159
"2010-07-01:12 AM",67.7232
"2010-07-02:12 AM",67.6013
"2010-07-03:12 AM",71.8349
"2010-07-04:12 AM",76.8078
"2010-07-05:12 AM",82.0818
"2010-07-06:12 AM",85.0766
"2010-07-07:12 AM",85.8695
"2010-07-08:12 AM",84.5312
"2010-07-09:12 AM",81.1724
"2010-07-10:12 AM",75.7656
"2010-07-11:12 AM",76.8123
"2010-07-12:12 AM",75.9785
"2010-07-13:12 AM",79.3724
"2010-07-14:12 AM",77.0846
"2010-07-15:12 AM",80.8767
"2010-07-16:12 AM",85.3075
"2010-07-17:12 AM",85.5333
"2010-07-18:12 AM",83.7064
"2010-07-19:12 AM",83.3139
"2010-07-20:12 AM",82.432
"2010-07-21:12 AM",80.4128
"2010-07-22:12 AM",82.9013
"2010-07-23:12 AM",84.3435
"2010-07-24:12 AM",89.2341
"2010-07-25:12 AM",88.3724
"2010-07-26:12 AM",77.2371
"2010-07-27:12 AM",75.9115
"2010-07-28:12 AM",81.0059
"2010-07-29:12 AM",83.0003
"2010-07-30:12 AM",74.3441
"2010-07-31:12 AM",75.3323
"2010-08-01:12 AM",74.8004
"2010-08-02:12 AM",73.6106
"2010-08-03:12 AM",77.4698
"2010-08-04:12 AM",83.3171
"2010-08-05:12 AM",84.6495
"2010-08-06:12 AM",78.6861
"2010-08-07:12 AM",75.5924
"2010-08-08:12 AM",76.1139
"2010-08-09:12 AM",81.3195
"2010-08-10:12 AM",84.8349
"2010-08-11:12 AM",85.3601
"2010-08-12:12 AM",80.276
"2010-08-13:12 AM",75.4916
"2010-08-14:12 AM",74.0525
"2010-08-15:12 AM",74.7266
"2010-08-16:12 AM",80.5298
"2010-08-17:12 AM",81.5014
"2010-08-18:12 AM",72.2894
"2010-08-19:12 AM",74.0534
"2010-08-20:12 AM",79.0583
"2010-08-21:12 AM",78.7046
"2010-08-22:12 AM",77.2106
"2010-08-23:12 AM",75.5397
"2010-08-24:12 AM",69.0823
"2010-08-25:12 AM",70.2694
"2010-08-26:12 AM",73.6592
"2010-08-27:12 AM",69.8743
"2010-08-28:12 AM",72.3511
"2010-08-29:12 AM",75.5708
"2010-08-30:12 AM",78.1389
"2010-08-31:12 AM",79.7041
"2010-09-01:12 AM",82.1376
"2010-09-02:12 AM",81.5621
"2010-09-03:12 AM",77.6809
"2010-09-04:12 AM",72.307
"2010-09-05:12 AM",63.3677
"2010-09-06:12 AM",68.0369
"2010-09-07:12 AM",75.5267
"2010-09-08:12 AM",79.8953
"2010-09-09:12 AM",66.0092
"2010-09-10:12 AM",63.0266
"2010-09-11:12 AM",66.1937
"2010-09-12:12 AM",64.7456
"2010-09-13:12 AM",68.0796
"2010-09-14:12 AM",67.3511
"2010-09-15:12 AM",67.8439
"2010-09-16:12 AM",70.8408
"2010-09-17:12 AM",67.3385
"2010-09-18:12 AM",61.6622
"2010-09-19:12 AM",66.114
"2010-09-20:12 AM",66.6378
"2010-09-21:12 AM",63.7412
"2010-09-22:12 AM",77.0158
"2010-09-23:12 AM",77.9135
"2010-09-24:12 AM",81.2435
"2010-09-25:12 AM",79.7707
"2010-09-26:12 AM",67.2732
"2010-09-27:12 AM",69.8328
"2010-09-28:12 AM",72.7704
"2010-09-29:12 AM",62.5429
"2010-09-30:12 AM",70.2797
"2010-10-01:12 AM",61.1276
"2010-10-02:12 AM",56.1848
"2010-10-03:12 AM",53.6639
"2010-10-04:12 AM",49.235
"2010-10-05:12 AM",50.364
"2010-10-06:12 AM",51.5313
"2010-10-07:12 AM",56.4211
"2010-10-08:12 AM",57.7144
"2010-10-09:12 AM",62.1914
"2010-10-10:12 AM",62.0964
"2010-10-11:12 AM",70.1168
"2010-10-12:12 AM",67.7156
