"DateTime","(deg F) Mean Temperature (CFSR) at Maine, 2010-01-01 to 2019-03-14"
"2010-06-26:12 AM",61.846
"2010-06-27:12 AM",61.0984
"2010-06-28:12 AM",59.652
"2010-06-29:12 AM",61.5562
"2010-06-30:12 AM",58.4973
"2010-07-01:12 AM",56.0503
"2010-07-02:12 AM",59.8757
"2010-07-03:12 AM",65.7387
"2010-07-04:12 AM",71.6477
"2010-07-05:12 AM",72.846
"2010-07-06:12 AM",74.5615
"2010-07-07:12 AM",73.4484
"2010-07-08:12 AM",72.2453
"2010-07-09:12 AM",72.1789
"2010-07-10:12 AM",67.7601
"2010-07-11:12 AM",66.5886
"2010-07-12:12 AM",70.7135
"2010-07-13:12 AM",69.4828
"2010-07-14:12 AM",67.5311
"2010-07-15:12 AM",70.8082
"2010-07-16:12 AM",68.5116
"2010-07-17:12 AM",72.3267
"2010-07-18:12 AM",70.1235
"2010-07-19:12 AM",65.602
"2010-07-20:12 AM",66.4072
"2010-07-21:12 AM",67.8261
"2010-07-22:12 AM",65.6638
"2010-07-23:12 AM",67.1445
"2010-07-24:12 AM",66.3964
"2010-07-25:12 AM",67.6953
"2010-07-26:12 AM",64.1867
"2010-07-27:12 AM",65.7693
"2010-07-28:12 AM",70.957
"2010-07-29:12 AM",68.5553
"2010-07-30:12 AM",59.3015
"2010-07-31:12 AM",59.2731
"2010-08-01:12 AM",62.6677
"2010-08-02:12 AM",64.3114
"2010-08-03:12 AM",65.293
"2010-08-04:12 AM",70.9668
"2010-08-05:12 AM",72.3258
"2010-08-06:12 AM",67.1909
"2010-08-07:12 AM",57.072
"2010-08-08:12 AM",62.8261
"2010-08-09:12 AM",67.957
"2010-08-10:12 AM",68.9254
"2010-08-11:12 AM",64.9359
"2010-08-12:12 AM",60.0019
"2010-08-13:12 AM",62.2922
"2010-08-14:12 AM",65.7631
"2010-08-15:12 AM",66.2023
"2010-08-16:12 AM",62.582
"2010-08-17:12 AM",68.2333
"2010-08-18:12 AM",67.0311
"2010-08-19:12 AM",66.0256
"2010-08-20:12 AM",63.2622
"2010-08-21:12 AM",60.9737
"2010-08-22:12 AM",58.8852
"2010-08-23:12 AM",59.1264
"2010-08-24:12 AM",61.212
"2010-08-25:12 AM",58.744
"2010-08-26:12 AM",63.6417
"2010-08-27:12 AM",61.4809
"2010-08-28:12 AM",62.1019
"2010-08-29:12 AM",70.7391
"2010-08-30:12 AM",73.3305
"2010-08-31:12 AM",76.1086
"2010-09-01:12 AM",77.6601
"2010-09-02:12 AM",75.2382
"2010-09-03:12 AM",72.7507
"2010-09-04:12 AM",66.5348
"2010-09-05:12 AM",58.4593
"2010-09-06:12 AM",58.0707
"2010-09-07:12 AM",60.7703
"2010-09-08:12 AM",60.0942
"2010-09-09:12 AM",56.95
"2010-09-10:12 AM",52.3261
"2010-09-11:12 AM",54.8087
"2010-09-12:12 AM",51.3257
"2010-09-13:12 AM",50.5904
"2010-09-14:12 AM",55.4533
"2010-09-15:12 AM",52.7065
"2010-09-16:12 AM",52.0252
"2010-09-17:12 AM",51.854
"2010-09-18:12 AM",52.5477
"2010-09-19:12 AM",54.1983
"2010-09-20:12 AM",53.85
"2010-09-21:12 AM",51.7746
"2010-09-22:12 AM",62.679
"2010-09-23:12 AM",54.0973
"2010-09-24:12 AM",51.8333
"2010-09-25:12 AM",61.2752
"2010-09-26:12 AM",50.7907
"2010-09-27:12 AM",52.3368
"2010-09-28:12 AM",61.4667
"2010-09-29:12 AM",64.8147
"2010-09-30:12 AM",61.3535
"2010-10-01:12 AM",61.9345
"2010-10-02:12 AM",50.9715
"2010-10-03:12 AM",45.8586
"2010-10-04:12 AM",46.9845
"2010-10-05:12 AM",51.3225
"2010-10-06:12 AM",50.0166
"2010-10-07:12 AM",48.5348
"2010-10-08:12 AM",48.6619
"2010-10-09:12 AM",42.102
"2010-10-10:12 AM",43.5585
"2010-10-11:12 AM",44.4679
"2010-10-12:12 AM",44.2738
"2010-10-13:12 AM",43.4062
"2010-10-14:12 AM",44.2753
"2010-10-15:12 AM",44.5422
"2010-10-16:12 AM",43.2723
"2010-10-17:12 AM",44.8781
"2010-10-18:12 AM",41.2232
"2010-10-19:12 AM",39.6725
"2010-10-20:12 AM",43.6289
"2010-10-21:12 AM",45.8343
"2010-10-22:12 AM",36.9487
"2010-10-23:12 AM",34.6465
"2010-10-24:12 AM",36.5124
"2010-10-25:12 AM",41.7234
"2010-10-26:12 AM",49.5477
"2010-10-27:12 AM",54.6332
"2010-10-28:12 AM",52.9662
"2010-10-29:12 AM",45.1792
"2010-10-30:12 AM",35.8837
"2010-10-31:12 AM",34.453
"2010-11-01:12 AM",35.7769
"2010-11-02:12 AM",33.8347
"2010-11-03:12 AM",33.7258
"2010-11-04:12 AM",36.7056
"2010-11-05:12 AM",47.0089
"2010-11-06:12 AM",39.2346
"2010-11-07:12 AM",34.7056
"2010-11-08:12 AM",38.9732
"2010-11-09:12 AM",41.5272
"2010-11-10:12 AM",36.5461
"2010-11-11:12 AM",34.4071
"2010-11-12:12 AM",38.5659
"2010-11-13:12 AM",41.3856
"2010-11-14:12 AM",37.9135
"2010-11-15:12 AM",39.4412
"2010-11-16:12 AM",42.024
"2010-11-17:12 AM",44.893
"2010-11-18:12 AM",36.2583
"2010-11-19:12 AM",27.6903
"2010-11-20:12 AM",29.0822
"2010-11-21:12 AM",24.0406
"2010-11-22:12 AM",30.0168
"2010-11-23:12 AM",36.6939
"2010-11-24:12 AM",30.384
"2010-11-25:12 AM",25.6167
"2010-11-26:12 AM",28.7202
"2010-11-27:12 AM",27.6127
"2010-11-28:12 AM",25.4624
"2010-11-29:12 AM",28.0314
"2010-11-30:12 AM",30.8017
"2010-12-01:12 AM",35.8533
"2010-12-02:12 AM",37.1172
"2010-12-03:12 AM",33.1965
"2010-12-04:12 AM",33.8652
"2010-12-05:12 AM",29.248
"2010-12-06:12 AM",26.6355
"2010-12-07:12 AM",24.6222
"2010-12-08:12 AM",20.5374
"2010-12-09:12 AM",16.9488
"2010-12-10:12 AM",14.6158
"2010-12-11:12 AM",24.7147
"2010-12-12:12 AM",29.8402
"2010-12-13:12 AM",45.5257
"2010-12-14:12 AM",32.8701
"2010-12-15:12 AM",18.4334
"2010-12-16:12 AM",16.0466
"2010-12-17:12 AM",19.927
"2010-12-18:12 AM",18.8717
"2010-12-19:12 AM",21.2792
"2010-12-20:12 AM",22.0865
"2010-12-21:12 AM",31.8135
"2010-12-22:12 AM",30.5519
"2010-12-23:12 AM",28.8059
"2010-12-24:12 AM",23.4104
"2010-12-25:12 AM",20.7775
"2010-12-26:12 AM",21.2463
"2010-12-27:12 AM",23.1858
"2010-12-28:12 AM",15.4143
"2010-12-29:12 AM",18.8301
"2010-12-30:12 AM",23.1334
"2010-12-31:12 AM",30.2261
"2011-01-01:12 AM",35.2737
"2011-01-02:12 AM",34.965
"2011-01-03:12 AM",24.7181
"2011-01-04:12 AM",21.2005
"2011-01-05:12 AM",19.9245
"2011-01-06:12 AM",17.5573
"2011-01-07:12 AM",17.2287
"2011-01-08:12 AM",23.3609
"2011-01-09:12 AM",24.6826
"2011-01-10:12 AM",22.7386
"2011-01-11:12 AM",21.951
"2011-01-12:12 AM",24.8706
"2011-01-13:12 AM",24.7469
"2011-01-14:12 AM",18.0057
"2011-01-15:12 AM",12.9349
"2011-01-16:12 AM",15.2294
"2011-01-17:12 AM",5.6444
"2011-01-18:12 AM",15.1534
