DateTime,Temp
1980-08-22,68.9358
1980-08-23,69.7824
1980-08-24,71.0713
1980-08-25,68.3434
1980-08-26,66.4385
1980-08-27,66.6522
1980-08-28,67.0116
1980-08-29,67.3777
1980-08-30,65.4917
1980-08-31,64.139
1980-09-01,64.0411
1980-09-02,66.6871
1980-09-03,67.1583
1980-09-04,67.4694
1980-09-05,70.5214
1980-09-06,71.9089
1980-09-07,70.416
1980-09-08,66.5877
1980-09-09,63.6953
1980-09-10,63.766000000000005
1980-09-11,64.5872
1980-09-12,64.0978
1980-09-13,62.2242
1980-09-14,62.5685
1980-09-15,64.2198
1980-09-16,62.6972
1980-09-17,64.3118
1980-09-18,64.3845
1980-09-19,64.3249
1980-09-20,61.2678
1980-09-21,59.1008
1980-09-22,56.5536
1980-09-23,57.5845
1980-09-24,58.7516
1980-09-25,58.4168
1980-09-26,60.1194
1980-09-27,61.5231
1980-09-28,62.6614
1980-09-29,64.0942
1980-09-30,66.4038
1980-10-01,64.3797
1980-10-02,61.2127
1980-10-03,62.7276
1980-10-04,64.2166
1980-10-05,65.3389
1980-10-06,64.9521
1980-10-07,65.8449
1980-10-08,64.7218
1980-10-09,60.8425
1980-10-10,56.7732
1980-10-11,55.9674
1980-10-12,56.7223
1980-10-13,54.3029
1980-10-14,51.4429
1980-10-15,46.9377
1980-10-16,43.2234
1980-10-17,41.9099
1980-10-18,44.0989
1980-10-19,48.0022
1980-10-20,49.6918
1980-10-21,49.3815
1980-10-22,47.0613
1980-10-23,43.5205
1980-10-24,42.4209
1980-10-25,43.9887
1980-10-26,42.7305
1980-10-27,39.5337
1980-10-28,36.9185
1980-10-29,39.2371
1980-10-30,43.858000000000004
1980-10-31,47.55
1980-11-01,48.9956
1980-11-02,50.5027
1980-11-03,49.0914
1980-11-04,50.413999999999994
1980-11-05,52.5414
1980-11-06,53.773
1980-11-07,53.6252
1980-11-08,51.6162
1980-11-09,47.4993
1980-11-10,46.5364
1980-11-11,46.1226
1980-11-12,43.7347
1980-11-13,38.1477
1980-11-14,31.9858
1980-11-15,28.9225
1980-11-16,27.4357
1980-11-17,28.3375
1980-11-18,30.3501
1980-11-19,32.8636
1980-11-20,33.9939
1980-11-21,36.5747
1980-11-22,37.675
1980-11-23,34.174
1980-11-24,31.0757
1980-11-25,29.4246
1980-11-26,30.6484
1980-11-27,32.9421
1980-11-28,37.7654
1980-11-29,39.8091
1980-11-30,39.9666
1980-12-01,32.7727
1980-12-02,31.0579
1980-12-03,37.8738
1980-12-04,39.222
1980-12-05,34.7873
1980-12-06,29.7365
1980-12-07,27.9846
1980-12-08,24.5584
1980-12-09,24.8695
1980-12-10,26.8248
1980-12-11,33.5764
1980-12-12,35.7228
1980-12-13,34.6797
1980-12-14,34.9356
1980-12-15,40.986000000000004
1980-12-16,43.8957
1980-12-17,43.2999
1980-12-18,36.6066
1980-12-19,27.7183
1980-12-20,27.5005
1980-12-21,30.7342
1980-12-22,36.1351
1980-12-23,34.7583
1980-12-24,29.5115
1980-12-25,36.6681
1980-12-26,43.0349
1980-12-27,45.1341
1980-12-28,43.2637
1980-12-29,40.6463
1980-12-30,41.8537
1980-12-31,41.5112
1981-01-01,38.9703
1981-01-02,38.615
1981-01-03,36.4352
1981-01-04,35.782
1981-01-05,36.0009
1981-01-06,34.596
1981-01-07,33.7132
1981-01-08,32.8775
1981-01-09,32.5081
1981-01-10,33.2901
1981-01-11,33.4742
1981-01-12,35.1001
1981-01-13,36.0538
1981-01-14,34.9772
1981-01-15,32.8793
1981-01-16,30.4943
1981-01-17,30.8793
1981-01-18,33.7402
1981-01-19,34.7626
1981-01-20,35.0989
1981-01-21,36.8109
1981-01-22,39.6271
1981-01-23,40.9028
1981-01-24,39.6876
1981-01-25,35.7321
1981-01-26,32.5105
1981-01-27,32.5384
1981-01-28,34.5173
1981-01-29,32.5083
1981-01-30,31.0476
1981-01-31,29.9079
1981-02-01,25.3211
