"DateTime","(deg F) Mean Temperature (CFSR) at Polygon 1, 1990-01-01 to 1994-12-31"
"1990-01-01:12 AM",31.062
"1990-01-02:12 AM",32.1359
"1990-01-03:12 AM",32.8208
"1990-01-04:12 AM",32.4037
"1990-01-05:12 AM",31.849
"1990-01-06:12 AM",32.3769
"1990-01-07:12 AM",35.2708
"1990-01-08:12 AM",38.7649
"1990-01-09:12 AM",40.6251
"1990-01-10:12 AM",41.3559
"1990-01-11:12 AM",39.7879
"1990-01-12:12 AM",33.546
"1990-01-13:12 AM",32.6977
"1990-01-14:12 AM",36.3886
"1990-01-15:12 AM",39.0132
"1990-01-16:12 AM",40.0226
"1990-01-17:12 AM",39.5227
"1990-01-18:12 AM",35.8758
"1990-01-19:12 AM",32.4117
"1990-01-20:12 AM",32.9095
"1990-01-21:12 AM",33.4024
"1990-01-22:12 AM",35.9562
"1990-01-23:12 AM",38.1704
"1990-01-24:12 AM",37.3343
"1990-01-25:12 AM",34.7598
"1990-01-26:12 AM",34.4484
"1990-01-27:12 AM",33.5116
"1990-01-28:12 AM",32.8901
"1990-01-29:12 AM",34.5726
"1990-01-30:12 AM",32.1868
"1990-01-31:12 AM",32.3985
"1990-02-01:12 AM",33.5878
"1990-02-02:12 AM",33.6445
"1990-02-03:12 AM",34.326
"1990-02-04:12 AM",34.5751
"1990-02-05:12 AM",33.6043
"1990-02-06:12 AM",36.0363
"1990-02-07:12 AM",37.6801
"1990-02-08:12 AM",38.6845
"1990-02-09:12 AM",40.4254
"1990-02-10:12 AM",39.1291
"1990-02-11:12 AM",39.9268
"1990-02-12:12 AM",40.8652
"1990-02-13:12 AM",35.602
"1990-02-14:12 AM",29.8011
"1990-02-15:12 AM",30.2052
"1990-02-16:12 AM",29.6744
"1990-02-17:12 AM",26.9951
"1990-02-18:12 AM",30.1672
"1990-02-19:12 AM",30.7438
"1990-02-20:12 AM",31.7624
"1990-02-21:12 AM",36.4593
"1990-02-22:12 AM",40.087
"1990-02-23:12 AM",39.6313
"1990-02-24:12 AM",35.5813
"1990-02-25:12 AM",32.3375
"1990-02-26:12 AM",35.6239
"1990-02-27:12 AM",37.7128
"1990-02-28:12 AM",36.5439
"1990-03-01:12 AM",37.0913
"1990-03-02:12 AM",39.2783
"1990-03-03:12 AM",39.0619
"1990-03-04:12 AM",39.5132
"1990-03-05:12 AM",39.4588
"1990-03-06:12 AM",39.3112
"1990-03-07:12 AM",39.7558
"1990-03-08:12 AM",42.0566
"1990-03-09:12 AM",46.2155
"1990-03-10:12 AM",48.7987
"1990-03-11:12 AM",48.9902
"1990-03-12:12 AM",48.45
"1990-03-13:12 AM",47.3151
"1990-03-14:12 AM",45.4408
"1990-03-15:12 AM",44.4211
"1990-03-16:12 AM",44.3424
"1990-03-17:12 AM",44.8725
"1990-03-18:12 AM",43.0056
"1990-03-19:12 AM",41.8604
"1990-03-20:12 AM",42.7077
"1990-03-21:12 AM",46.017
"1990-03-22:12 AM",46.5199
"1990-03-23:12 AM",40.4944
"1990-03-24:12 AM",36.8197
"1990-03-25:12 AM",38.2131
"1990-03-26:12 AM",39.8764
"1990-03-27:12 AM",41.5989
"1990-03-28:12 AM",43.4095
"1990-03-29:12 AM",44.0933
"1990-03-30:12 AM",45.7297
"1990-03-31:12 AM",48.7688
"1990-04-01:12 AM",50.5656
"1990-04-02:12 AM",48.8966
"1990-04-03:12 AM",47.9091
"1990-04-04:12 AM",48.6412
"1990-04-05:12 AM",46.0704
"1990-04-06:12 AM",42.7635
"1990-04-07:12 AM",43.2853
"1990-04-08:12 AM",46.1966
"1990-04-09:12 AM",48.3822
"1990-04-10:12 AM",48.7166
"1990-04-11:12 AM",45.2687
"1990-04-12:12 AM",44.8763
"1990-04-13:12 AM",48.6586
"1990-04-14:12 AM",53.1183
"1990-04-15:12 AM",54.5653
"1990-04-16:12 AM",53.4794
"1990-04-17:12 AM",48.6432
"1990-04-18:12 AM",47.8332
"1990-04-19:12 AM",52.6446
"1990-04-20:12 AM",57.7188
"1990-04-21:12 AM",59.6574
"1990-04-22:12 AM",59.9272
"1990-04-23:12 AM",60.1794
"1990-04-24:12 AM",59.2371
"1990-04-25:12 AM",58.7863
"1990-04-26:12 AM",58.4271
"1990-04-27:12 AM",56.338
"1990-04-28:12 AM",54.5252
"1990-04-29:12 AM",51.44
"1990-04-30:12 AM",50.013
"1990-05-01:12 AM",50.4552
"1990-05-02:12 AM",51.8634
"1990-05-03:12 AM",54.0095
"1990-05-04:12 AM",56.2089
"1990-05-05:12 AM",56.3412
"1990-05-06:12 AM",57.0866
"1990-05-07:12 AM",57.6525
"1990-05-08:12 AM",57.1609
"1990-05-09:12 AM",55.2261
"1990-05-10:12 AM",53.5057
"1990-05-11:12 AM",53.3703
"1990-05-12:12 AM",55.5278
"1990-05-13:12 AM",57.1053
"1990-05-14:12 AM",58.3545
"1990-05-15:12 AM",59.83
"1990-05-16:12 AM",59.9617
"1990-05-17:12 AM",58.7719
"1990-05-18:12 AM",58.3871
"1990-05-19:12 AM",58.8483
"1990-05-20:12 AM",58.6629
"1990-05-21:12 AM",59.8537
"1990-05-22:12 AM",60.6182
"1990-05-23:12 AM",61.2635
"1990-05-24:12 AM",61.3841
"1990-05-25:12 AM",61.5565
"1990-05-26:12 AM",62.773
"1990-05-27:12 AM",62.7251
"1990-05-28:12 AM",61.7335
"1990-05-29:12 AM",60.0019
"1990-05-30:12 AM",59.7225
"1990-05-31:12 AM",61.1751
"1990-06-01:12 AM",62.9418
"1990-06-02:12 AM",64.3593
"1990-06-03:12 AM",63.6856
"1990-06-04:12 AM",63.7419
"1990-06-05:12 AM",64.7535
"1990-06-06:12 AM",67.482
"1990-06-07:12 AM",68.3755
"1990-06-08:12 AM",70.0317
"1990-06-09:12 AM",70.8471
"1990-06-10:12 AM",69.2879
"1990-06-11:12 AM",66.9484
"1990-06-12:12 AM",67.1418
"1990-06-13:12 AM",68.0167
"1990-06-14:12 AM",68.5011
"1990-06-15:12 AM",68.0014
"1990-06-16:12 AM",68.459
"1990-06-17:12 AM",70.9182
"1990-06-18:12 AM",72.6258
"1990-06-19:12 AM",71.8741
"1990-06-20:12 AM",71.6767
"1990-06-21:12 AM",72.172
"1990-06-22:12 AM",71.7282
"1990-06-23:12 AM",71.7143
"1990-06-24:12 AM",73.3318
"1990-06-25:12 AM",75.3327
"1990-06-26:12 AM",76.6801
"1990-06-27:12 AM",76.4069
"1990-06-28:12 AM",76.3021
"1990-06-29:12 AM",77.4079
"1990-06-30:12 AM",77.9506
"1990-07-01:12 AM",77.4905
"1990-07-02:12 AM",76.4883
"1990-07-03:12 AM",75.7974
"1990-07-04:12 AM",75.7897
"1990-07-05:12 AM",74.2984
"1990-07-06:12 AM",73.1147
"1990-07-07:12 AM",73.4117
"1990-07-08:12 AM",74.7554
"1990-07-09:12 AM",75.4565
"1990-07-10:12 AM",75.3507
"1990-07-11:12 AM",74.183
"1990-07-12:12 AM",71.9184
"1990-07-13:12 AM",70.3855
"1990-07-14:12 AM",70.4674
"1990-07-15:12 AM",71.2855
"1990-07-16:12 AM",72.9795
"1990-07-17:12 AM",74.3817
"1990-07-18:12 AM",74.5723
"1990-07-19:12 AM",73.6066
"1990-07-20:12 AM",72.3963
"1990-07-21:12 AM",71.6344
"1990-07-22:12 AM",70.7013
"1990-07-23:12 AM",70.9911
"1990-07-24:12 AM",71.6274
"1990-07-25:12 AM",71.6776
"1990-07-26:12 AM",72.2748
"1990-07-27:12 AM",73.8601
"1990-07-28:12 AM",74.9784
"1990-07-29:12 AM",74.6254
"1990-07-30:12 AM",73.6291
"1990-07-31:12 AM",72.6474
"1990-08-01:12 AM",72.448
"1990-08-02:12 AM",72.9158
"1990-08-03:12 AM",73.9598
"1990-08-04:12 AM",74.4744
"1990-08-05:12 AM",73.1093
"1990-08-06:12 AM",72.072
"1990-08-07:12 AM",72.2116
"1990-08-08:12 AM",73.5955
"1990-08-09:12 AM",74.4357
"1990-08-10:12 AM",73.922
"1990-08-11:12 AM",73.3033
"1990-08-12:12 AM",72.662
"1990-08-13:12 AM",72.1029
"1990-08-14:12 AM",72.3812
"1990-08-15:12 AM",72.3187
"1990-08-16:12 AM",73.3971
"1990-08-17:12 AM",73.7866
"1990-08-18:12 AM",72.7444
"1990-08-19:12 AM",71.1194
"1990-08-20:12 AM",70.5511
"1990-08-21:12 AM",70.8847
"1990-08-22:12 AM",71.5928
"1990-08-23:12 AM",71.7948
"1990-08-24:12 AM",72.0907
"1990-08-25:12 AM",72.6489
"1990-08-26:12 AM",74.17
"1990-08-27:12 AM",75.3748
"1990-08-28:12 AM",76.2868
"1990-08-29:12 AM",75.8201
"1990-08-30:12 AM",74.3218
"1990-08-31:12 AM",73.8041
"1990-09-01:12 AM",74.0829
"1990-09-02:12 AM",74.1159
"1990-09-03:12 AM",73.4484
"1990-09-04:12 AM",73.8576
"1990-09-05:12 AM",74.7739
"1990-09-06:12 AM",76.1099
"1990-09-07:12 AM",74.9017
"1990-09-08:12 AM",72.3445
"1990-09-09:12 AM",72.2143
"1990-09-10:12 AM",72.424
"1990-09-11:12 AM",72.5184
"1990-09-12:12 AM",72.486
"1990-09-13:12 AM",71.6862
"1990-09-14:12 AM",69.5163
"1990-09-15:12 AM",67.185
"1990-09-16:12 AM",64.1215
"1990-09-17:12 AM",61.3065
"1990-09-18:12 AM",62.0407
"1990-09-19:12 AM",62.9902
"1990-09-20:12 AM",63.2208
"1990-09-21:12 AM",63.1695
"1990-09-22:12 AM",61.6496
"1990-09-23:12 AM",57.9558
"1990-09-24:12 AM",59.9625
"1990-09-25:12 AM",63.9653
"1990-09-26:12 AM",65.2689
"1990-09-27:12 AM",64.8799
"1990-09-28:12 AM",63.2827
"1990-09-29:12 AM",61.8809
"1990-09-30:12 AM",60.6976
"1990-10-01:12 AM",61.0997
"1990-10-02:12 AM",60.5428
"1990-10-03:12 AM",59.6376
"1990-10-04:12 AM",62.0215
"1990-10-05:12 AM",63.4473
"1990-10-06:12 AM",59.8498
"1990-10-07:12 AM",54.7183
"1990-10-08:12 AM",52.434
"1990-10-09:12 AM",50.6356
"1990-10-10:12 AM",51.0825
"1990-10-11:12 AM",50.2061
"1990-10-12:12 AM",51.751
"1990-10-13:12 AM",54.3916
"1990-10-14:12 AM",54.5436
"1990-10-15:12 AM",54.9563
"1990-10-16:12 AM",56.0766
"1990-10-17:12 AM",54.7581
"1990-10-18:12 AM",50.0513
"1990-10-19:12 AM",47.7988
"1990-10-20:12 AM",47.1447
"1990-10-21:12 AM",46.6488
"1990-10-22:12 AM",49.0363
"1990-10-23:12 AM",49.5221
"1990-10-24:12 AM",49.3054
"1990-10-25:12 AM",50.2516
"1990-10-26:12 AM",51.3066
"1990-10-27:12 AM",51.121
"1990-10-28:12 AM",50.5846
"1990-10-29:12 AM",50.7911
"1990-10-30:12 AM",52.6921
"1990-10-31:12 AM",54.3655
"1990-11-01:12 AM",53.7663
"1990-11-02:12 AM",49.9568
"1990-11-03:12 AM",45.9676
"1990-11-04:12 AM",42.9337
"1990-11-05:12 AM",41.1822
"1990-11-06:12 AM",37.4236
"1990-11-07:12 AM",35.715
"1990-11-08:12 AM",38.3437
"1990-11-09:12 AM",41.5584
"1990-11-10:12 AM",43.9659
"1990-11-11:12 AM",44.7183
"1990-11-12:12 AM",45.3438
"1990-11-13:12 AM",46.2754
"1990-11-14:12 AM",48.8415
"1990-11-15:12 AM",49.5918
"1990-11-16:12 AM",47.9577
"1990-11-17:12 AM",45.1612
"1990-11-18:12 AM",43.7371
"1990-11-19:12 AM",44.7125
"1990-11-20:12 AM",47.0957
"1990-11-21:12 AM",46.3201
"1990-11-22:12 AM",45.0811
"1990-11-23:12 AM",45.0916
"1990-11-24:12 AM",45.7531
"1990-11-25:12 AM",44.9863
